sample_index,bucket,source_name,uid
106096,medium_mid,hotpot,hotpot:106096
61752,medium_mid,hotpot,hotpot:61752
140572,easy_high,nq,nq:140572
72040,medium_mid,hotpot,hotpot:72040
43942,medium_high,hotpot,hotpot:43942
109246,medium_high,nq,nq:109246
86208,easy_high,nq,nq:86208
116232,hard,nq,nq:116232
98888,medium_mid,nq,nq:98888
134774,medium_high,nq,nq:134774
157466,medium_mid,nq,nq:157466
130392,medium_mid,hotpot,hotpot:130392
120518,medium_mid,nq,nq:120518
18376,medium_mid,hotpot,hotpot:18376
102066,medium_mid,nq,nq:102066
11188,medium_mid,nq,nq:11188
33762,medium_high,hotpot,hotpot:33762
127176,easy_high,hotpot,hotpot:127176
29578,medium_high,nq,nq:29578
110980,easy_high,hotpot,hotpot:110980
7200,medium_mid,nq,nq:7200
40670,medium_low,nq,nq:40670
155730,medium_high,hotpot,hotpot:155730
37516,hard,nq,nq:37516
55926,medium_high,hotpot,hotpot:55926
36040,medium_mid,hotpot,hotpot:36040
40782,medium_mid,nq,nq:40782
130246,medium_high,hotpot,hotpot:130246
32550,medium_low,nq,nq:32550
80612,medium_high,nq,nq:80612
81172,easy_high,hotpot,hotpot:81172
38284,medium_high,hotpot,hotpot:38284
246,medium_mid,nq,nq:246
84558,medium_low,nq,nq:84558
106408,medium_low,nq,nq:106408
156744,easy_high,hotpot,hotpot:156744
54342,medium_low,hotpot,hotpot:54342
45892,medium_low,nq,nq:45892
69434,medium_mid,nq,nq:69434
52744,easy_high,hotpot,hotpot:52744
30894,medium_high,hotpot,hotpot:30894
14174,easy_high,hotpot,hotpot:14174
113578,hard,nq,nq:113578
172030,medium_mid,hotpot,hotpot:172030
150266,medium_mid,hotpot,hotpot:150266
75538,easy_high,nq,nq:75538
68654,medium_low,nq,nq:68654
124160,easy_high,hotpot,hotpot:124160
83800,easy_high,hotpot,hotpot:83800
17602,easy_high,hotpot,hotpot:17602
96738,medium_mid,hotpot,hotpot:96738
85344,easy_high,hotpot,hotpot:85344
8272,medium_low,hotpot,hotpot:8272
22104,medium_mid,hotpot,hotpot:22104
143920,medium_high,nq,nq:143920
83894,easy_high,nq,nq:83894
8128,easy_high,hotpot,hotpot:8128
117138,medium_high,hotpot,hotpot:117138
59460,medium_mid,hotpot,hotpot:59460
146222,medium_high,nq,nq:146222
167334,medium_high,hotpot,hotpot:167334
91184,medium_mid,nq,nq:91184
38240,medium_low,hotpot,hotpot:38240
152082,medium_mid,hotpot,hotpot:152082
102408,easy_high,nq,nq:102408
137312,easy_high,hotpot,hotpot:137312
140474,medium_mid,nq,nq:140474
91154,medium_low,hotpot,hotpot:91154
70178,easy_high,nq,nq:70178
116952,medium_low,nq,nq:116952
12620,easy_high,nq,nq:12620
83302,medium_high,nq,nq:83302
150026,medium_mid,nq,nq:150026
89072,easy_high,nq,nq:89072
136340,hard,hotpot,hotpot:136340
144218,medium_mid,hotpot,hotpot:144218
144220,medium_high,nq,nq:144220
26074,medium_mid,hotpot,hotpot:26074
55666,easy_high,hotpot,hotpot:55666
91260,easy_high,hotpot,hotpot:91260
168844,medium_mid,hotpot,hotpot:168844
128162,medium_high,hotpot,hotpot:128162
77692,medium_mid,hotpot,hotpot:77692
48024,easy_high,nq,nq:48024
48842,hard,hotpot,hotpot:48842
55742,easy_high,hotpot,hotpot:55742
75484,medium_high,nq,nq:75484
153666,medium_mid,nq,nq:153666
98454,medium_low,nq,nq:98454
17224,medium_mid,hotpot,hotpot:17224
146900,easy_high,nq,nq:146900
149476,medium_mid,nq,nq:149476
99706,medium_low,nq,nq:99706
75296,medium_mid,hotpot,hotpot:75296
62266,medium_mid,nq,nq:62266
10984,easy_high,hotpot,hotpot:10984
107240,medium_high,nq,nq:107240
143820,medium_mid,nq,nq:143820
37658,easy_high,nq,nq:37658
70848,medium_high,nq,nq:70848
35204,easy_high,hotpot,hotpot:35204
1538,easy_high,nq,nq:1538
38858,medium_mid,hotpot,hotpot:38858
24490,easy_high,nq,nq:24490
179102,easy_high,hotpot,hotpot:179102
153972,easy_high,nq,nq:153972
54870,easy_high,nq,nq:54870
115440,easy_high,hotpot,hotpot:115440
53152,medium_mid,nq,nq:53152
2232,easy_high,nq,nq:2232
19702,medium_mid,hotpot,hotpot:19702
59888,easy_high,nq,nq:59888
96194,medium_mid,nq,nq:96194
64898,medium_high,nq,nq:64898
152912,medium_low,hotpot,hotpot:152912
40014,hard,nq,nq:40014
45412,medium_high,hotpot,hotpot:45412
37086,medium_mid,nq,nq:37086
83104,hard,nq,nq:83104
34456,medium_low,nq,nq:34456
94626,medium_mid,hotpot,hotpot:94626
166712,medium_high,hotpot,hotpot:166712
109948,medium_mid,nq,nq:109948
100930,easy_high,hotpot,hotpot:100930
44068,easy_high,nq,nq:44068
138950,medium_high,hotpot,hotpot:138950
87458,medium_mid,nq,nq:87458
115214,easy_high,nq,nq:115214
12132,medium_high,hotpot,hotpot:12132
21598,medium_mid,nq,nq:21598
87892,medium_mid,hotpot,hotpot:87892
87532,medium_mid,hotpot,hotpot:87532
53560,medium_low,hotpot,hotpot:53560
129914,easy_high,hotpot,hotpot:129914
131946,easy_high,hotpot,hotpot:131946
30394,easy_high,hotpot,hotpot:30394
1016,medium_high,hotpot,hotpot:1016
139320,easy_high,hotpot,hotpot:139320
84546,medium_high,hotpot,hotpot:84546
13448,medium_mid,hotpot,hotpot:13448
110320,medium_mid,nq,nq:110320
40528,medium_high,hotpot,hotpot:40528
46164,hard,hotpot,hotpot:46164
20754,medium_mid,hotpot,hotpot:20754
100108,easy_high,nq,nq:100108
55470,hard,nq,nq:55470
80002,medium_mid,nq,nq:80002
76054,medium_mid,hotpot,hotpot:76054
149318,easy_high,nq,nq:149318
107290,hard,hotpot,hotpot:107290
121166,easy_high,nq,nq:121166
72670,medium_high,hotpot,hotpot:72670
154366,medium_high,hotpot,hotpot:154366
62706,medium_high,hotpot,hotpot:62706
33540,medium_mid,hotpot,hotpot:33540
98890,easy_high,hotpot,hotpot:98890
77894,medium_low,hotpot,hotpot:77894
46916,medium_low,hotpot,hotpot:46916
66988,medium_low,nq,nq:66988
32074,easy_high,nq,nq:32074
125366,medium_high,hotpot,hotpot:125366
4930,easy_high,hotpot,hotpot:4930
12706,medium_mid,nq,nq:12706
32510,medium_mid,hotpot,hotpot:32510
104356,medium_low,hotpot,hotpot:104356
94898,medium_high,nq,nq:94898
16048,hard,nq,nq:16048
32490,medium_high,hotpot,hotpot:32490
56178,medium_high,hotpot,hotpot:56178
106274,medium_high,nq,nq:106274
58552,easy_high,hotpot,hotpot:58552
61256,hard,nq,nq:61256
86796,easy_high,nq,nq:86796
75082,easy_high,hotpot,hotpot:75082
140462,medium_high,nq,nq:140462
63672,medium_mid,nq,nq:63672
53226,medium_low,hotpot,hotpot:53226
151484,easy_high,hotpot,hotpot:151484
90972,medium_mid,nq,nq:90972
139574,medium_high,hotpot,hotpot:139574
25144,easy_high,hotpot,hotpot:25144
152680,medium_high,hotpot,hotpot:152680
71282,medium_mid,nq,nq:71282
12352,medium_high,hotpot,hotpot:12352
116550,easy_high,hotpot,hotpot:116550
106214,medium_low,hotpot,hotpot:106214
17618,easy_high,nq,nq:17618
140838,easy_high,nq,nq:140838
135604,medium_high,hotpot,hotpot:135604
28922,medium_high,nq,nq:28922
114894,hard,hotpot,hotpot:114894
33864,hard,nq,nq:33864
167336,easy_high,hotpot,hotpot:167336
108778,medium_low,nq,nq:108778
7526,easy_high,hotpot,hotpot:7526
147692,medium_high,nq,nq:147692
151854,medium_high,hotpot,hotpot:151854
135644,medium_high,hotpot,hotpot:135644
90320,easy_high,nq,nq:90320
108122,easy_high,nq,nq:108122
142360,easy_high,nq,nq:142360
45194,medium_mid,hotpot,hotpot:45194
16378,hard,nq,nq:16378
32344,hard,hotpot,hotpot:32344
156486,easy_high,hotpot,hotpot:156486
28850,medium_low,hotpot,hotpot:28850
31350,medium_high,hotpot,hotpot:31350
73960,medium_mid,hotpot,hotpot:73960
106906,hard,nq,nq:106906
88936,hard,nq,nq:88936
97298,easy_high,nq,nq:97298
112176,medium_low,hotpot,hotpot:112176
33710,medium_high,hotpot,hotpot:33710
163422,medium_high,hotpot,hotpot:163422
147760,medium_mid,nq,nq:147760
18156,medium_high,hotpot,hotpot:18156
104294,medium_mid,nq,nq:104294
6354,easy_high,hotpot,hotpot:6354
140210,medium_mid,nq,nq:140210
102918,medium_high,nq,nq:102918
144528,hard,nq,nq:144528
61194,medium_high,hotpot,hotpot:61194
68956,medium_high,hotpot,hotpot:68956
82666,easy_high,hotpot,hotpot:82666
68662,medium_low,hotpot,hotpot:68662
2328,easy_high,nq,nq:2328
7990,hard,hotpot,hotpot:7990
30338,medium_high,nq,nq:30338
21162,medium_mid,hotpot,hotpot:21162
28054,medium_mid,hotpot,hotpot:28054
89408,medium_mid,nq,nq:89408
49608,easy_high,nq,nq:49608
95914,medium_mid,nq,nq:95914
8896,medium_mid,hotpot,hotpot:8896
